52.8.40.140 - - [28/Jan/2022:17:14:58 +0000] "GET /asdadadas HTTP/1.1" 404 1083
104.35.128.230 - - [28/Jan/2022:17:24:58 +0000] "GET / HTTP/1.1" 200 11204
104.35.128.230 - - [28/Jan/2022:17:24:58 +0000] "GET /tomcat.css HTTP/1.1" 200 5581
104.35.128.230 - - [28/Jan/2022:17:24:58 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
104.35.128.230 - - [28/Jan/2022:17:24:58 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
104.35.128.230 - - [28/Jan/2022:17:24:58 +0000] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
104.35.128.230 - - [28/Jan/2022:17:24:58 +0000] "GET /bg-button.png HTTP/1.1" 200 713
104.35.128.230 - - [28/Jan/2022:17:24:58 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
104.35.128.230 - - [28/Jan/2022:17:24:58 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
104.35.128.230 - - [28/Jan/2022:17:24:58 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
104.35.128.230 - - [28/Jan/2022:17:26:11 +0000] "GET /jenkins HTTP/1.1" 302 -
104.35.128.230 - - [28/Jan/2022:17:26:11 +0000] "GET /jenkins/ HTTP/1.1" 403 589
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/login?from=%2Fjenkins%2F HTTP/1.1" 200 1599
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/css/simple-page.css HTTP/1.1" 200 1469
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/scripts/yui/container/assets/container.css HTTP/1.1" 200 2306
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/css/simple-page-forms.css HTTP/1.1" 200 656
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/css/color.css HTTP/1.1" 200 763
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/css/simple-page.theme.css HTTP/1.1" 200 1076
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/scripts/yui/menu/assets/skins/sam/menu.css HTTP/1.1" 200 1301
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/jsbundles/ui-refresh-overrides.css HTTP/1.1" 200 2606
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/scripts/yui/container/assets/skins/sam/container.css HTTP/1.1" 200 1277
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/css/responsive-grid.css HTTP/1.1" 200 3541
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/css/simple-page-variables.css HTTP/1.1" 200 229
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/scripts/behavior.js HTTP/1.1" 200 2404
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/scripts/yui/yahoo/yahoo-min.js HTTP/1.1" 200 3038
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/scripts/yui/dom/dom-min.js HTTP/1.1" 200 5739
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/scripts/yui/event/event-min.js HTTP/1.1" 200 5146
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/scripts/yui/animation/animation-min.js HTTP/1.1" 200 4877
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/jsbundles/base-styles-v2.css HTTP/1.1" 200 19691
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/scripts/yui/dragdrop/dragdrop-min.js HTTP/1.1" 200 6974
